head,task,variant,dataset,fold,n_samples,accuracy,balanced_accuracy,AUROC,BCE
mlp,state,A3,city,fold_5,1966,0.7222787385554426,0.7509002448497129,0.8226269630192503,0.5888283848762512
mlp,state,A3,vrq,fold_1,507,0.6627218934911243,0.648962302774541,0.6957137908229143,0.7780521512031555
mlp,state,A3,vrq,fold_2,512,0.80859375,0.8006632277081798,0.8238147875214935,0.5330379605293274
mlp,state,A3,vrq,fold_3,474,0.7932489451476793,0.799176807444524,0.8590372226198998,0.5263041257858276
mlp,state,A3,vrq,fold_4,418,0.7918660287081339,0.7789928968281876,0.8462737651499168,0.5659328699111938
mlp,state,A3,vrq,fold_5,379,0.9234828496042217,0.9240039008080245,0.9765254945667318,0.2787032425403595
mlp,state,A4,city,fold_1,1820,0.771978021978022,0.7577457146925528,0.890789719190223,0.5498034358024597
mlp,state,A4,city,fold_2,1671,0.8641532016756434,0.8673528972717613,0.9197634121569211,0.3722933530807495
mlp,state,A4,city,fold_3,1784,0.7326233183856502,0.7508928571428571,0.8206862244897959,0.5668678879737854
mlp,state,A4,city,fold_4,2102,0.7921027592768791,0.7883658008658009,0.8796518137035376,0.4230988323688507
mlp,state,A4,city,fold_5,1966,0.6683621566632757,0.7079164555893279,0.7844377955082742,0.7240241169929504
mlp,state,A4,vrq,fold_1,507,0.5798816568047337,0.5885191950366895,0.6804160236828016,0.8473303914070129
mlp,state,A4,vrq,fold_2,512,0.787109375,0.7764369933677229,0.8306850282485876,0.494810551404953
mlp,state,A4,vrq,fold_3,474,0.7616033755274262,0.769649248389406,0.8629652827487475,0.5700405240058899
mlp,state,A4,vrq,fold_4,418,0.784688995215311,0.7840213798438709,0.8397566636191013,0.5348034501075745
mlp,state,A4,vrq,fold_5,379,0.9102902374670184,0.9114934522151017,0.9794371691278907,0.23658116161823273
